1992	1	12099
1992	2	11580
1992	3	12272
1992	4	12443
1992	5	13449
1992	6	13427
1992	7	13874
1992	8	13825
1992	9	13140
1992	10	13663
1992	11	13064
1992	12	13488
1993	1	12527
1993	2	12060
1993	3	13163
1993	4	13377
1993	5	14089
1993	6	13999
1993	7	14447
1993	8	14121
1993	9	13376
1993	10	13961
1993	11	13520
1993	12	13736
1994	1	12714
1994	2	12293
1994	3	13647
1994	4	13645
1994	5	14351
1994	6	14720
1994	7	15138
1994	8	15596
1994	9	14722
1994	10	14856
1994	11	14536
1994	12	15004
1995	1	13871
1995	2	13212
1995	3	14757
1995	4	14630
1995	5	15945
1995	6	16207
1995	7	16057
1995	8	16217
1995	9	15194
1995	10	15157
1995	11	14681
1995	12	15185
1996	1	14473
1996	2	14159
1996	3	15616
1996	4	16024
1996	5	17428
1996	6	16957
1996	7	17039
1996	8	17271
1996	9	15975
1996	10	16671
1996	11	16237
1996	12	16575
1997	1	15956
1997	2	14912
1997	3	16562
1997	4	16364
1997	5	17316
1997	6	17049
1997	7	17478
1997	8	17733
1997	9	16791
1997	10	17162
1997	11	16006
1997	12	16371
1998	1	15235
1998	2	14063
1998	3	15358
1998	4	15687
1998	5	16780
1998	6	16730
1998	7	17294
1998	8	16818
1998	9	15859
1998	10	16410
1998	11	15373
1998	12	16120
1999	1	15115
1999	2	14270
1999	3	16298
1999	4	17201
1999	5	17908
1999	6	17923
1999	7	19120
1999	8	19278
1999	9	18559
1999	10	18967
1999	11	18232
1999	12	19653
2000	1	17693
2000	2	18294
2000	3	20819
2000	4	19768
2000	5	21214
2000	6	22242
2000	7	22264
2000	8	22138
2000	9	21668
2000	10	21712
2000	11	20898
2000	12	21106
2001	1	20089
2001	2	18935
2001	3	20797
2001	4	21661
2001	5	23850
2001	6	23244
2001	7	22072
2001	8	22653
2001	9	21379
2001	10	20434
2001	11	18437
2001	12	17832
2002	1	17504
2002	2	16704
2002	3	19833
2002	4	21106
2002	5	22228
2002	6	21666
2002	7	22981
2002	8	23131
2002	9	21378
2002	10	22265
2002	11	20887
2002	12	20936
2003	1	21204
2003	2	20852
2003	3	23872
2003	4	22829
2003	5	23293
2003	6	22801
2003	7	23994
2003	8	24965
2003	9	23400
2003	10	23645
2003	11	21946
2003	12	22386
2004	1	22773
2004	2	22554
2004	3	25602
2004	4	26207
2004	5	28578
2004	6	28403
2004	7	29286
2004	8	28729
2004	9	27351
2004	10	29544
2004	11	27676
2004	12	27303
2005	1	25566
2005	2	24982
2005	3	29380
2005	4	30549
2005	5	31151
2005	6	31862
2005	7	33888
2005	8	36204
2005	9	36260
2005	10	36557
2005	11	31260
2005	12	31264
2006	1	30800
2006	2	29253
2006	3	33887
2006	4	36002
2006	5	39016
2006	6	39126
2006	7	40585
2006	8	41051
2006	9	34830
2006	10	33208
2006	11	31556
2006	12	32662
2007	1	30922
2007	2	29762
2007	3	35603
2007	4	36677
2007	5	41378
2007	6	40481
2007	7	40696
2007	8	40387
2007	9	37675
2007	10	39425
2007	11	39802
2007	12	39014
2008	1	38691
2008	2	37617
2008	3	42231
2008	4	43668
2008	5	48521
2008	6	50095
2008	7	51739
2008	8	49079
2008	9	45195
2008	10	40637
2008	11	29879
2008	12	26387
2009	1	26552
2009	2	25631
2009	3	28462
2009	4	29449
2009	5	32973
2009	6	35963
2009	7	36359
2009	8	37003
2009	9	34373
2009	10	35054
2009	11	34374
2009	12	35286
2010	1	34184
2010	2	31927
2010	3	37281
2010	4	38344
2010	5	39216
2010	6	38251
2010	7	39093
2010	8	38572
2010	9	37189
2010	10	38490
2010	11	37071
2010	12	39075
2011	1	37986
2011	2	36622
2011	3	44283
2011	4	45770
2011	5	48148
2011	6	47412
2011	7	48086
2011	8	48206
2011	9	45336
2011	10	45013
2011	11	42883
2011	12	42667
2012	1	41332
2012	2	42150
2012	3	48326
2012	4	47610
2012	5	49157
2012	6	46462
2012	7	46655
2012	8	50210
2012	9	47240
2012	10	49049
2012	11	44522
2012	12	42694
2013	1	41832
2013	2	42258
2013	3	47725
2013	4	46756
2013	5	49088
2013	6	48331
2013	7	49616
2013	8	49298
2013	9	45767
2013	10	46155
2013	11	42016
2013	12	42734
2014	1	42164
2014	2	40152
2014	3	45742
2014	4	46630
2014	5	49803
2014	6	48322
2014	7	49438
2014	8	48302
2014	9	45062
2014	10	44942
2014	11	39730
2014	12	36515
2015	1	32002
2015	2	31033
2015	3	36075
2015	4	36297
2015	5	40093
2015	6	40929
